subject_nr,response_time_reproduction,context,exp_dur
5,2299,0,[long_dur]
5,1525,0,[short_dur]
5,404,0,[long_dur]
5,696,0,[long_dur]
5,1352,0,[short_dur]
5,583,0,[long_dur]
5,384,0,[long_dur]
5,1115,0,[short_dur]
5,701,0,[long_dur]
5,1281,0,[short_dur]
5,431,0,[long_dur]
5,889,0,[short_dur]
5,463,0,[long_dur]
5,859,long,[short_dur]
5,897,long,[short_dur]
5,735,long,[short_dur]
5,1274,long,[long_dur]
5,922,long,[short_dur]
5,1516,long,[long_dur]
5,980,long,[long_dur]
5,862,long,[short_dur]
5,1222,long,[long_dur]
5,841,long,[short_dur]
5,994,long,[short_dur]
5,1262,long,[long_dur]
5,735,long,[short_dur]
5,1385,long,[long_dur]
5,905,long,[long_dur]
5,1314,long,[long_dur]
5,1079,long,[short_dur]
5,731,long,[short_dur]
5,940,long,[short_dur]
5,553,long,[short_dur]
5,851,long,[long_dur]
5,1467,long,[long_dur]
5,969,long,[short_dur]
5,792,long,[short_dur]
5,1077,long,[long_dur]
5,1193,long,[long_dur]
5,1291,long,[long_dur]
5,997,long,[long_dur]
5,744,long,[short_dur]
5,1437,long,[long_dur]
5,2279,long,[long_dur]
5,1242,long,[short_dur]
5,1340,long,[long_dur]
5,1117,long,[long_dur]
5,872,long,[long_dur]
5,1028,long,[long_dur]
5,1316,long,[short_dur]
5,1048,long,[short_dur]
5,703,long,[short_dur]
5,1174,long,[long_dur]
5,683,long,[short_dur]
5,1116,long,[short_dur]
5,661,long,[long_dur]
5,1010,long,[long_dur]
5,128,long,[short_dur]
5,718,long,[short_dur]
5,1181,long,[long_dur]
5,130,long,[long_dur]
5,1207,long,[short_dur]
5,1425,long,[long_dur]
5,2069,long,[long_dur]
5,1669,long,[long_dur]
5,1367,long,[long_dur]
5,1180,long,[short_dur]
5,1481,long,[short_dur]
5,597,long,[short_dur]
5,983,long,[long_dur]
5,1082,long,[short_dur]
5,1141,long,[short_dur]
5,1526,long,[short_dur]
5,1270,short,[long_dur]
5,633,short,[short_dur]
5,594,short,[short_dur]
5,1245,short,[long_dur]
5,801,short,[short_dur]
5,1108,short,[short_dur]
5,797,short,[long_dur]
5,553,short,[short_dur]
5,856,short,[short_dur]
5,922,short,[long_dur]
5,760,short,[short_dur]
5,717,short,[short_dur]
5,898,short,[long_dur]
5,995,short,[long_dur]
5,757,short,[long_dur]
5,1316,short,[short_dur]
5,681,short,[short_dur]
5,739,short,[short_dur]
5,664,short,[short_dur]
5,819,short,[long_dur]
5,585,short,[long_dur]
5,857,short,[short_dur]
5,1000,short,[long_dur]
5,1033,short,[long_dur]
5,422,short,[short_dur]
5,898,short,[long_dur]
5,550,short,[long_dur]
5,343,short,[short_dur]
5,740,short,[long_dur]
5,621,short,[long_dur]
5,858,short,[short_dur]
5,801,short,[long_dur]
5,691,short,[short_dur]
5,1040,short,[long_dur]
5,970,short,[short_dur]
5,728,short,[short_dur]
5,818,short,[long_dur]
5,584,short,[long_dur]
5,863,short,[short_dur]
5,885,short,[short_dur]
5,870,short,[long_dur]
5,847,short,[short_dur]
5,960,short,[long_dur]
5,211,short,[long_dur]
5,789,short,[short_dur]
5,1116,short,[long_dur]
5,938,short,[short_dur]
5,1440,short,[short_dur]
5,1801,short,[short_dur]
5,307,short,[short_dur]
5,1031,short,[long_dur]
5,1001,short,[short_dur]
5,1087,short,[long_dur]
5,662,short,[long_dur]
5,957,short,[long_dur]
5,742,short,[short_dur]
5,609,short,[long_dur]
5,939,short,[long_dur]
5,469,short,[long_dur]
5,689,short,[short_dur]
6,951,0,[long_dur]
6,1391,0,[short_dur]
6,26,0,[long_dur]
6,536,0,[long_dur]
6,403,0,[long_dur]
6,290,0,[long_dur]
6,225,0,[short_dur]
6,1413,0,[short_dur]
6,1110,0,[short_dur]
6,67,0,[short_dur]
6,1045,0,[short_dur]
6,232,0,[short_dur]
6,1065,0,[short_dur]
6,1232,0,[short_dur]
6,592,0,[long_dur]
6,768,0,[long_dur]
6,453,0,[long_dur]
6,546,0,[long_dur]
6,1408,0,[short_dur]
6,427,0,[long_dur]
6,969,long,[short_dur]
6,1059,long,[long_dur]
6,931,long,[long_dur]
6,608,long,[short_dur]
6,942,long,[short_dur]
6,858,long,[short_dur]
6,943,long,[long_dur]
6,746,long,[short_dur]
6,1105,long,[short_dur]
6,755,long,[short_dur]
6,1171,long,[long_dur]
6,286,long,[long_dur]
6,1173,long,[long_dur]
6,920,long,[long_dur]
6,1094,long,[long_dur]
6,733,long,[short_dur]
6,949,long,[short_dur]
6,908,long,[short_dur]
6,789,long,[short_dur]
6,505,long,[short_dur]
6,1112,long,[long_dur]
6,1383,long,[long_dur]
6,993,long,[long_dur]
6,402,long,[short_dur]
6,781,long,[short_dur]
6,1029,long,[long_dur]
6,942,long,[long_dur]
6,713,long,[short_dur]
6,1181,long,[long_dur]
6,1525,long,[long_dur]
6,1166,long,[long_dur]
6,1091,long,[long_dur]
6,780,long,[short_dur]
6,699,long,[long_dur]
6,1063,long,[short_dur]
6,1314,long,[long_dur]
6,888,long,[short_dur]
6,1044,long,[long_dur]
6,1454,long,[long_dur]
6,700,long,[long_dur]
6,1430,long,[long_dur]
6,826,long,[short_dur]
6,1036,long,[long_dur]
6,467,long,[long_dur]
6,750,long,[short_dur]
6,644,long,[short_dur]
6,744,long,[short_dur]
6,425,long,[long_dur]
6,1143,long,[long_dur]
6,1062,long,[short_dur]
6,874,long,[short_dur]
6,818,long,[long_dur]
6,861,long,[short_dur]
6,1488,long,[long_dur]
6,1013,long,[short_dur]
6,694,long,[short_dur]
6,1096,long,[short_dur]
6,1008,long,[short_dur]
6,971,long,[long_dur]
6,616,long,[short_dur]
6,712,short,[long_dur]
6,1098,short,[short_dur]
6,1115,short,[short_dur]
6,555,short,[short_dur]
6,74,short,[short_dur]
6,1024,short,[short_dur]
6,346,short,[long_dur]
6,1186,short,[long_dur]
6,680,short,[short_dur]
6,586,short,[short_dur]
6,753,short,[short_dur]
6,1100,short,[long_dur]
6,889,short,[long_dur]
6,564,short,[short_dur]
6,572,short,[short_dur]
6,868,short,[long_dur]
6,740,short,[short_dur]
6,811,short,[long_dur]
6,664,short,[short_dur]
6,525,short,[short_dur]
6,481,short,[short_dur]
6,775,short,[long_dur]
6,630,short,[long_dur]
6,636,short,[short_dur]
6,256,short,[long_dur]
6,787,short,[long_dur]
6,976,short,[long_dur]
6,938,short,[long_dur]
6,1188,short,[long_dur]
6,1110,short,[long_dur]
6,679,short,[short_dur]
6,1130,short,[long_dur]
6,696,short,[short_dur]
6,871,short,[long_dur]
6,774,short,[short_dur]
6,929,short,[long_dur]
6,1027,short,[long_dur]
6,815,short,[short_dur]
6,974,short,[long_dur]
6,1126,short,[short_dur]
6,833,short,[long_dur]
6,1077,short,[short_dur]
6,1228,short,[short_dur]
6,107,short,[short_dur]
6,1315,short,[short_dur]
6,991,short,[short_dur]
6,833,short,[short_dur]
6,936,short,[long_dur]
6,959,short,[short_dur]
6,1344,short,[short_dur]
6,1303,short,[long_dur]
6,1266,short,[long_dur]
6,1149,short,[long_dur]
6,1060,short,[long_dur]
6,1837,short,[long_dur]
6,874,short,[long_dur]
6,683,short,[short_dur]
6,890,short,[long_dur]
6,1056,short,[long_dur]
6,951,short,[short_dur]
7,508,0,[short_dur]
7,24,0,[long_dur]
7,636,0,[long_dur]
7,201,0,[short_dur]
7,384,0,[short_dur]
7,624,0,[short_dur]
7,118,0,[long_dur]
7,812,0,[long_dur]
7,12,0,[long_dur]
7,410,0,[short_dur]
7,1137,0,[short_dur]
7,1612,0,[short_dur]
7,415,0,[long_dur]
7,665,0,[long_dur]
7,933,0,[short_dur]
7,1160,0,[long_dur]
7,1212,0,[short_dur]
7,1280,0,[short_dur]
7,473,0,[long_dur]
7,650,0,[long_dur]
7,976,long,[short_dur]
7,141,long,[short_dur]
7,523,long,[short_dur]
7,630,long,[short_dur]
7,1053,long,[long_dur]
7,1071,long,[long_dur]
7,1061,long,[long_dur]
7,260,long,[short_dur]
7,934,long,[long_dur]
7,777,long,[short_dur]
7,952,long,[long_dur]
7,1156,long,[long_dur]
7,1140,long,[long_dur]
7,1074,long,[long_dur]
7,1088,long,[long_dur]
7,3937,long,[short_dur]
7,963,long,[short_dur]
7,901,long,[short_dur]
7,1163,long,[short_dur]
7,963,long,[short_dur]
7,792,long,[short_dur]
7,1158,long,[long_dur]
7,1123,long,[long_dur]
7,844,long,[long_dur]
7,1130,long,[long_dur]
7,1048,long,[short_dur]
7,972,long,[short_dur]
7,1870,long,[long_dur]
7,1528,long,[short_dur]
7,971,long,[long_dur]
7,1161,long,[long_dur]
7,988,long,[long_dur]
7,1298,long,[long_dur]
7,1104,long,[long_dur]
7,949,long,[short_dur]
7,1177,long,[long_dur]
